전통주명,가격,용량,주종,도수,단맛,신맛,바디감,향,청량감,균형감,목넘김,맛,잘 어울리는 음식,주원료,제조사
가야 프리미엄 막걸리,"32,000",750ml,과실주,6,3,3,2,,4,,,,,김해 쌀(100%),가야양조장
감그린 레귤러,"18,000",750ml,과실주,12,3,3,2,,3,,,,소고기류,감(국내산),
감그린 스페셜,"25,000",750ml,과실주,12,3,3,3,,3,,,,소고기류,감(국내산),청도감와인
감그린 아이스와인,"89,000",375ml,과실주,10,4,2,4,,2,,,,"모짜렐라 치즈, 카망베르, 스모키 치즈",감(국내산),청도감와인
감악산 머루주,"28,000",360ml,과실주,12,4,4,3,,3,,,,"메기, 참게, 흑염소, 오리로스구이","국내산 산머루원액 78.5%, 주정",
고도리 레드와인 스위트,"22,000",750ml,과실주,12,3,3,3,,2,,,,"육회, 수육, 불고기",MBA 머루포도(경북 영천),
고도리 복숭아와인,"32,000",750ml,과실주,6.5,4,3,2,,3,,,,,복숭아(영천),고도리 와이너리
고도리 화이트와인 드라이,"22,000",750ml,과실주,10.5,2,3,2,,3,,,,"생선회, 기름기가 적은 음식",거봉포도(영천),고도리 와이너리
고도리 화이트와인 스위트,"22,000",750ml,과실주,10.5,4,3,2,,3,,,,,거봉포도(영천),고도리 와이너리
고창선운산 땡큐복분자주,"50,000",300ml,과실주,13,3,1,2,,3,,,,장어구이,"복분자과실, 주정, 효모, 구연산, 정제수",
고창선운산 땡큐블루베리주,"60,000",300ml,과실주,13,2,2,2,,2,,,,스테이크,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 복분자주 특1호,"27,000",1800ml,과실주,15,3,1,2,,3,,,,장어구이,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
공주애 오디와인,"6,000",375ml,과실주,15,3,2,1,,3,,,,장어구이,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원
그랑꼬또 레드와인,"35,000",750ml,과실주,12,3,3,2,,3,,,,"생선, 나물",포도(캠벨얼리),
그랑꼬또 로제와인,"21,000",750ml,과실주,12,2,3,3,,1,,,,조개요리,포도,그린영농조합
그랑꼬또 청수,"60,000",750ml,과실주,12,2,1,2,,3,,,,파스타,포도,그린영농조합
그랑꼬또 M56,"21,000",750ml,과실주,12,2,3,3,,1,,,,조개요리,포도(캠벨얼리),
그랑티그르 CE2002,"40,000",750ml,과실주,12,3,2,3,,2,,,,"산채 한정식, 나물요리",캠벨얼리 포도,월류원
그랑티그르 M1988,"40,000",750ml,과실주,12,3,3,3,,2,,,,"산채 한정식, 나물 요리","캠벨얼리 포도, 오미자",월류원
그랑티그르 S1974,"40,000",750ml,과실주,12,1,3,2,,2,,,,스테이크,포도(캠벨얼리 100%),
남산애 레드와인,"45,000",750ml,과실주,14,3,3,2,,3,,,,,"포도(캠벨얼리, MBA, 산머루)",
남산애 포트와인,"55,000",750ml,과실주,18.5,3,3,3,,2,,,,,"포도(캠벨얼리, MBA, 산머루)",예인화원
내장산 복분자주 지통1호,"18,000",700ml,과실주,16,1,3,2,,,,3,,소고기,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합
다래와인 3004,"10,000",375ml,과실주,8,2,2,2,,1,,,,소고기 구이,참다래,오름주가
다래와인 7004S,"18,000",750ml,과실주,8,2,2,2,,1,,,,식사,참다래,오름주가
다랭이팜 생막걸리,"4,000",750ml,과실주,6,1,5,2,,2,,,,골뱅이 무침,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜
도로시 머루주,"25,000",500ml,과실주,12,4,4,3,,3,,,,"삼계탕, 오리백숙","국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인
두레앙 와인,"15,000",750ml,과실주,12,2,2,2,,1,,,,"육류, 치즈",거봉포도원액,
레돔 내추럴 스파클링 로제와인,"38,000",750ml,과실주,7.5,3,3,2,,4,,,,,포도,작은알자스
레돔 시드르,"32,000",750ml,과실주,6,3,3,2,,4,,,,,사과(100%),
맑은내일 Winery 단감명작,"20,000",750ml,과실주,7,3,2,2,,3,,,,"샐러드, 해산물, 케이크, 마카롱","단감(국내산_창녕), 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산아방지제), 소브산(보존료)",우포의 아침 주식회사
머루드 서 드라이,"35,000",750ml,과실주,13.5,2,4,4,,3,,,,"양꼬치, 항정살, 스테이크",국내산 산머루,산머루농원
머루이야기,"6,000",350ml,과실주,12,3,1,2,,1,,,,수육,국내산 머루(전북 무주),산들벗(주0
명작 복분자,"78,000",375ml,과실주,13,3,1,1,,1,,,,파이,"복분자, 효모, 주정, 정제수, 과당, 구연산",
무주구천동머루와인,"25,000",750ml,과실주,12,2,2,3,,1,,,,삼겹살,머루,덕유양조
미소 아이스,"40,000",375ml,과실주,12,4,1,3,,2,,,,,"포도, 산화방지제, 효모",도란원
백이주,"30,000",800ml,과실주,35,2,2,3,,1,,,,"김치찜, 탕, 찌개류","쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인(주)세찬
뱅꼬레 레드와인,"25,000",375ml,과실주,12,3,4,2,,2,,,,"불고기, 수육, 어복쟁반",양조용포도(영천),한국와인
뱅꼬레 로제와인,"23,000",375ml,과실주,11.5,4,3,2,,3,,,,한정식,양조용포도(영천),한국와인
뱅꼬레 화이트와인,"23,000",375ml,과실주,11,4,3,2,,3,,,,"샐러드, 카르파쵸, 가벼운 튀김류",양조용포도(경북 영천),한국와인
베베마루 캠벨로제 스위트,"20,000",375ml,과실주,10,2,2,3,,1,,,,와인에 재워 놓은 붉은 고기,포도(캠벨얼리),월류원
별바랑,"27,000",375ml,과실주,17.5,4,3,2,,3,,,,모짜렐라치즈,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당
복분자음,"6,000",375ml,과실주,12,2,2,3,,1,,,,삼계탕,"복분자(국내산), 정제수",배상면주가
블루베리 이야기,"6,000",375ml,과실주,12,3,1,3,,1,,,,숯불구이,"국내산 산머루 50%, 블루베리 50%",농업회사법인산들벗(주)
산머루 크라테 드라이,"48,000",750ml,과실주,11.5,2,2,3,,3,,,,"스테이크, 고기요리, 꼬치구이, 찜요리",산머루,수도산와이너리
산머루 크라테 로제,"18,000",375ml,과실주,11.5,4,1,3,,3,,,,불고기,산머루,수도산와이너리
산머루 크라테 스위트,"48,000",750ml,과실주,11.5,4,2,1,,3,,,,양념된 두부조림,산머리(국내산),수도산와이너리
샤토미소 레드 스위트,"20,000",750ml,과실주,12,,,,,,,,,"탕평채, 채소 샐러드","포도, 산화방지제, 효모, 설탕 등",도란원
샤토미소 로제 스위트,"20,000",375ml,과실주,12,3,1,2,,,,2,,초콜릿,"포도, 산화방지제, 효모, 설탕",
샹스프랑보아즈,"150,000",500ml,과실주,13,1,4,4,,2,,,,"양념 소갈비, 육전","복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진
선운산 복분자와인,"6,000",300ml,과실주,13,4,4,2,,3,,,,장어구이,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",
선운산 복분자주,"25,000",375ml,과실주,16,4,4,2,,3,,,,"장어구이, 디저트, 치즈","복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",
선운산 복분자주 프리미엄,"40,000",700ml,과실주,19,4,3,2,,3,,,,한우 수육,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진
스타베리오디,"28,000",500ml,과실주,12,3,4,3,,3,,,,나물 요리,양조용포도(영천),한국와인
시나브로 드 글로리아,"25,000",750ml,과실주,12,3,3,2,,2,,,,"불고기, 육전, 가벼운 고기류",포도(캠벨얼리),불휘농장
시나브로 레드 드라이,"25,000",750ml,과실주,12,2,3,3,,3,,,,"아귀찜, 꽃게무침",캠벨얼리,불휘농장
시나브로 레드 스위트,"25,000",750ml,과실주,12,3,3,2,,3,,,,,포도(캠벨얼리),불휘농장
시나브로 로제와인,"30,000",500ml,과실주,10,,3,3,,3,,,,"샐러드, 새우튀김",포도(캠벨얼리),불휘농장
시나브로 에뚜왈 로제 스파클링,"30,000",750ml,과실주,5,2,1,4,,1,,,,내온 수육,포도(캠벨얼리),불휘농장
시나브로 에뚜왈 스파클링와인,"30,000",750ml,과실주,5,3,3,2,,4,,,,육류,포도(청수),
애피소드 상그리아,"21,000",500ml,과실주,3.5,4,4,2,,4,,,,쿠키,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈
애피소드 애플,"21,000",500ml,과실주,3.5,4,4,2,,4,,,,"새우, 호박, 감자, 고구마, 오징어",사과,㈜한국애플리즈
여포의 꿈 레드,"20,000",750ml,과실주,12,4,1,3,,,,2,,케익,국내산 포도,여포와인농장
여포의 꿈(화이트),"20,000",375ml,과실주,12,1,2,2,,,,2,,조기,국내산 포도,
예밀와인 레드 드라이,"20,000",750ml,과실주,13,1,1,3,,2,,,,고기구이,포도(캠벨얼리),
예밀와인 레드 스위트,"20,000",750ml,과실주,12,4,1,3,,2,,,,달콤한 디저트,포도(캠벨얼리),예밀2리영농조합법인
예밀와인 로제,"20,000",750ml,과실주,12,4,1,3,,2,,,,케익,포도(캠벨얼리),
예주,"29,000",750ml,과실주,15,1,3,3,,1,,,,소고기 소금구이,"복분자, 주정, 효모, 정제수",용두산조은술
오디랑,"4,000",330ml,과실주,13,3,1,1,,,,3,,양념 고기,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",
오미로제 스파클링와인,"99,000",750ml,과실주,12,2,5,4,,,,,,"편육냉채,잣즙냉채",국내산 오미자,
오미로제 연,"50,000",750ml,과실주,8.5,2,5,2,,,,,,"해산물, 피자, 파스타",오미자,오미나라
자두와인,"22,000",750ml,과실주,12,,,,,,,,,"감자부각, 사과숙",국내산 자두,자두사랑
자두와인 레드,"22,000",750ml,과실주,12,2,3,2,,2,,,,피자,피자두,
장수 오미자주,"5,400",360ml,과실주,16.5,3,4,3,,4,,,,"버섯요리, 송이버섯 전골","오미자(국내산), 정제수, 주정, 설탕, 효모",
젤코바 스페셜와인,"17,000",375ml,과실주,11.5,2,4,3,,2,,,,"불고기, 양념갈비","국내산 산머루, MBA포도",젤코바와이너리
젤코바 프리미엄 와인,"33,000",500ml,과실주,12,1,4,4,,2,,,,"양념 소갈비, 육전","국내산 산머루, MBA포도",젤코바와이너리
추사 로제,"20,000",375ml,과실주,12,2,3,1,,2,,,,"애플파이, 과실 샐러드",사과(국내산),
추사 블루베리 와인,"20,000",375ml,과실주,11,3,1,3,,2,,,,"블루베리 파이, 사과 파이","예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",예산사과와인
추사 애플와인,"20,000",375ml,과실주,12,3,1,3,,2,,,,닭 백숙,사과(국내산),
컨츄리 산머루 와인 (드라이),"20,000",750ml,과실주,14,1,3,3,,,,2,,오리구이,국산 산머루원액 100%,
"코이버펑크, 머스캣 베일리 에","65,000",750ml,과실주,12,3,3,4,,3,,,,"고추장, 된장",와이너리 재배 포도 100%,
"코이버펑크, 샤르도네 세미용 2018","65,000",750ml,과실주,11.5,2,4,4,,4,,,,한식,"샤르도네 포도품종, 세미용 포도품종, 실바너 포도품종",코이버펑크
쿨샷 7.5,"60,000",300ml,과실주,7.5,3,1,2,,2,,,,케잌,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
한스오차드 사과와인,"20,000",750ml,과실주,11,4,3,2,,2,,,,"치즈, 과일 안주",사과,㈜한국애플리즈
혼디주,"8,000",330ml,과실주,12,4,3,2,,3,,,,제주도 흑돼지 구이,"제주산감귤, 백설탕, 구연산, 무수아황산",㈜시트러스
The 찾을수록,"9,000",360ml,과실주,14,4,2,2,,3,,,,스낵,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",㈜한국애플리즈
경기전,"27,000",1000ml,기타주류,5,2,3,2,,4,,,,맥주에 어울리는 모든 안주,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",전주술로시티
김천 과하주 23도,"22,000",700ml,기타주류,23,,,2,1,,,,1,매운탕,"멥쌀, 누룩, 샘물, 황국잎",
녹고의 눈물,"23,000",700ml,기타주류,16,2,,3,2,,,,,생선 조림,섬오가피,토향
매아랑,,750ml,기타주류,9,,,,,,,,,"매실초고추장 생선회무침, 언양불고기",국내산 매실,하동매실 영농조합법인
메로니아,"2,000",750ml,기타주류,4,4,1,2,,5,,,,,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액",배혜정도가
바나나 주,"1,700",750ml,기타주류,4,3,1,2,,3,,,,열대과일,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿",조은술 세종
백운 복분자 와인,"7,000",360ml,기타주류,11,2,2,1,,1,,,,중국음식,"쌀, 토종 복분자과즙",백운주가
백운 복분자주,"7,000",360ml,기타주류,13,3,2,2,,2,,,,탕수육,"쌀, 토종 복분자과즙",
설궁,"23,000",700ml,기타주류,30,2,,2,2,,,,,조개구이,"자연산 송이버섯, 산양산삼, 토종벌꿀",솔래원
세종 알밤주,"1,500",750ml,기타주류,6,4,1,2,,3,,,,야채 샐러드,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",조은술 세종
심플리 애플,"9,000",350ml,기타주류,12,,,1,4,,,2,4,"광어회, 냉채족발, 참소라","쌀(국산), 사과즙(국산), 벌꿀(국산)",
애피소드호프,"21,000",500ml,기타주류,3.5,4,4,2,,4,,,,"치킨, 닭강정, 튀김류","사과과즙, 보리, 쌀, 홉",㈜한국애플리즈
어우야,"9,900",365ml,기타주류,16,,,2,2,,,3,,,"야관문(제주산), 정제수, 포도당, 효모",
오목대,"27,000",1000ml,기타주류,5,2,3,3,,4,,,,맥주와 어울리는 기름진 음식,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",농업회사법인 동문거리양조장(주)
우도땅콩전통주,"4,000",750ml,기타주류,6,4,1,3,,3,,,,안주 없이,"쌀, 우도땅콩",조은술 세종
주몽 복분자주,"5,000",75ml,기타주류,16,3,1,3,,1,,,,케이크,"쌀, 복분자",
톡쏘는 알밤동동,"1,300",750ml,기타주류,6,4,1,3,,3,,,,,"쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등",우리술
허니문와인,"35,000",375ml,기타주류,10,4,2,2,,2,,,,,벌꿀(국내산),아이비영농조합법인
허니비,"35,000",500ml,기타주류,8,3,1,2,,1,,,,"개성약과, 다식",벌꿀(국내산),아이비영농조합법인
허니비 와인,"35,000",500ml,기타주류,8,3,1,2,,1,,,,,국내산 벌꿀,
호두땅콩막걸리,"2,700",750ml,기타주류,6,3,1,4,,2,,,,"땅콩, 호두 등 견과류","물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",배혜정도가
홍삼명주,"12,000",375ml,기타주류,14,1,3,1,,,,1,,나물무침,홍삼(국내산),자연과 인삼
황질주,"9,900",365ml,기타주류,16,,,2,2,,,3,,"삼계탕, 전골","황칠나무잎(제주산), 정제수, 포도당, 효모",
DMZ 240km,,450ml,기타주류,25,,,3,1,,,,2,회무침,"자연송이버섯, 브랜디원액, 블랙커런트, 벌꿀",
계룡백일주 40%,"80,000",600ml,리큐르,40,,,4,3,,,,3,잔칫상과 두루 어울림,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",계룡백일주
녹천 소곡화주 500ml,"45,000",500ml,리큐르,41,,,3,3,,,,2,전골류,"찹쌀, 누룩, 백미, 정제수",녹천주조장
담솔,"22,000",500ml,리큐르,40,3,0,3,,3,,,,두부전골,"백미(함양산) 90%, 솔잎·송순(함양산) 10%",솔송주(명가원)
동강더덕주,"3,500",360ml,리큐르,20,,,2,3,,,,3,더덕양념구이,"더덕, 대추구기자, 감초, 원지",영월더덕영농조합법인
르깔롱,"35,000",500ml,리큐르,16,,,4,4,,,4,,열대과일,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라",
매실원주 허니,"6,000",300ml,리큐르,15,3,,3,2,,,,,양념된 고기,"국내산 황매  80%, 청매20%",더한주류
불소곡주,"30,000",700ml,리큐르,43,,,4,3,,,,2,전골,"찹쌀, 누룩, 백미, 정제수, 야국, 메주콩, 생강, 홍고추",
산내울 복분자주,"20,000",750ml,리큐르,16,4,4,3,,3,,,,탄산수와 섞어 마실 것을 추천,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협
산내울 사과애주,"14,000",750ml,리큐르,16,4,4,2,,3,,,,탄산수와 섞어 마실 것을 추천,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협
산삼가득 명술,"30,000",375ml,리큐르,20,,,3,2,,,,2,삼계탕,"국내산 주정, 국내산 산양산삼 5년근",대농바이오우리산삼
서울의 밤,"7,500",375ml,리큐르,25,,,2,4,,,1,,삼겹살,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류
송화백일주,"45,000",500ml,리큐르,38,,,3,3,,,3,,삼계탕,"쌀, 찹쌀, 누룩, 산수유, 오미자, 구기자, 솔잎, 송화가루, 꿀",
오매락퍽,"52,000",500ml,리큐르,40,3,,4,3,,,,,육회,국내산 배증류원액,배상면주가
원매,"35,000",750ml,리큐르,20,,,3,4,,,,1,숙주 소고기 볶음,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류
원매 프리미엄,"45,000",700ml,리큐르,20,2,,4,3,,,,,파스타,국내산 황매실,더한주류
원매 프리미엄,"45,000",700ml,리큐르,20,,,4,3,,,,2,"파스타, 면요리",매실,더한주류
이강주 2호,"28,000",750ml,리큐르,25,2,0,2,,2,,,,보쌈,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",
이강주 375ml,"4,500",375ml,리큐르,19,2,0,2,,2,,,,보쌈,국내산 쌀,전주이강주
자연송이주,"14,000",720ml,리큐르,18,1,,1,1,,,,,활어회,자연송이버섯,솔래원
진도홍주 루비콘,"10,000",375ml,리큐르,40,3,,3,3,,,,,조개찜,"쌀, 누룩, 지초, 정제수",대대로영농조합법인
진쾌남,"8,500",330ml,리큐르,25,,,3,3,,,4,,삼계탕,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수",사곡양조장
천매,"130,000",600ml,리큐르,30,,,4,3,,,,2,중국음식,"매실주원액, 발효주정, 정제수, 꿀",
티나(TINA),"54,000",750ml,리큐르,16,,,5,4,,,4,,"캐러멜, 케익",딸기(국내산),추성고을
한비 무병장수술,"30,000",375ml,리큐르,35,,,4,5,,,2,,추어탕,"국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유",제천한약(영)
한비 오가피술,"30,000",375ml,리큐르,35,,,3,2,,,2,,탕수육,"국내산 쌀, 누룩, 가시오가피 뿌리, 정제수",
호담 300ml,"18,000",300ml,리큐르,20,,,2,2,,,,2,닭백숙,"산양산삼, 정제수, 주정",대농바이오우리산삼
감자술 13%,"14,000",700ml,약주,13,3,2,2,,3,,,,감자전,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",
구기홍주 14,"16,000",750ml,약주,14,2,2,2,,2,,,,약간 매운 음식,"국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수",두이술공방
금산인삼주,"12,000",375ml,약주,12.5,1,3,2,,2,,,,양념 돼지갈비,"쌀, 인삼, 누룩, 정제수",
기다림 맑은술,"25,000",500ml,약주,15,4,3,3,,3,,,,"곱창 전골, 연포탕","국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
김포별주,"4,000",500ml,약주,13,3,1,3,,1,,,,쭈꾸미 볶음,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",
김포약주,"9,000",750ml,약주,11,1,2,2,,1,,,,닭백숙,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",김포양조
김포예주 프리미엄,"15,000",750ml,약주,13,2,1,4,,1,,,,불고기,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조
김포특주,"3,000",375ml,약주,15,4,4,2,,2,,,,"감자탕, 김치찌개, 매운 제육볶음","국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인
녹파주,"35,000",375ml,약주,15,3,2,3,,2,,,,연잎밥,"국내산 찹쌀, 멥쌀, 누룩, 정제수",솔송주(명가원)
능이주,"12,000",375ml,약주,13,1,3,2,,1,,,,버섯구이,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조
니모메,"12,000",375ml,약주,11,2,1,2,,1,,,,흰 살 생선 회,"쌀(국내산), 감귤 진피, 정제수",제주샘주
대윤 가야곡 왕주,"4,000",300ml,약주,13,2,2,3,,1,,,,쭈꾸미 볶음,"쌀, 누룩, 효모, 물엿, 정제수",
대통대잎술,"16,000",700ml,약주,15,1,1,2,,,,2,,스테이크,"쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",추성고을
동몽,"30,000",500ml,약주,17,2,3,3,,1,,,,두부전골,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술주조
