전통주명,가격,용량,주종,도수,단맛,신맛,바디감,청량감,잘 어울리는 음식,주원료,제조사,유형
구름을 벗삼아,"1,500",750ml,탁주,6,3,3,3,3,가리비,"정제수, 찹쌀·백미(국내산햅쌀 100%), 입국",,4
해창 생막걸리 6도,"3,000",900ml,탁주,6,1,1,2,3,간재미 찜,"햅쌀, 찹쌀, 물, 누룩",해창주조장,2
도문대작 생막걸리,"2,000",750ml,증류주,10,1,3,2,3,갈비찜,"강릉 쌀, 누룩, 갯방풍나물, 정제수",방풍도가,3
이동 생 쌀 막걸리,"1,300",750ml,탁주,6,1,3,2,3,갈비찜,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조,3
동정춘,"18,000",500ml,탁주,8,4,3,3,2,"갈비찜, 단맛이 약간 있는 음식","쌀, 누룩, 정제수",농업회사법인㈜산수,4
이화백주,"12,000",940ml,탁주,6,3,3,3,4,"갈비찜, 해물파전, 보쌈, 족발","정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주,4
지란지교 무화과 탁주,"30,000",500ml,탁주,12,4,4,4,1,"갈치조림, 고등어무조림, 무화과타르트","찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",,1
감자술 13%,"14,000",700ml,약주,13,3,2,2,3,감자전,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",,2
지리산 강쇠,"2,500",375ml,약주,13,2,2,4,1,감자탕,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",농업회사법인(유)술소리,1
김포특주,"3,000",375ml,약주,15,4,4,2,2,"감자탕, 김치찌개, 매운 제육볶음","국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인,4
허니비,"35,000",500ml,기타주류,8,3,1,2,1,"개성약과, 다식",벌꿀(국내산),아이비영농조합법인,2
지장수 호박막걸리,"5,000",550ml,탁주,6,2,1,2,1,"겉절이 김치, 수육","국내산 쌀, 호박",낙천,2
오매백주,"5,000",500ml,탁주,12,5,1,1,1,견과류,"쌀(국내산), 국, 효모, 정제수",,2
예밀와인 레드 드라이,"20,000",750ml,과실주,13,1,1,3,2,고기구이,포도(캠벨얼리),,2
희양산 막걸리 9도,"8,000",750ml,탁주,9,2,3,3,2,고기류,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가,3
오메기술,"13,000",375ml,약주,13,2,2,3,1,"고사리 무침, 전","백미(국내산), 차조(국내산), 입국(국내산), 누룩, 효모",제주샘주,1
"코이버펑크, 머스캣 베일리 에","65,000",750ml,과실주,12,3,3,4,3,"고추장, 된장",와이너리 재배 포도 100%,,4
다랭이팜 생막걸리,"4,000",750ml,과실주,6,1,5,2,2,골뱅이 무침,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜,3
백자주,"18,000",500ml,탁주,10,3,3,3,2,"골뱅이무침, 소라무침","국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",농업회사법인㈜산수,4
기다림 맑은술,"25,000",500ml,약주,15,4,3,3,3,"곱창 전골, 연포탕","국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,4
지리산 정담 생쌀 막걸리,"1,500",750ml,탁주,6,1,3,1,2,과일 샐러드,"쌀(국내산), 종국, 정제수, 누룩, 효모",운봉주조,3
밤꽃향기,"4,000",375ml,약주,13.5,5,2,2,2,"구운 밤, 공주국밥","국내산 쌀, 밤, 누룩, 정제수",사곡양조장,2
서주 16%,"45,000",400ml,약주,16,3,2,3,3,기름진 감자전,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조,4
나루 생 막걸리 6도,"7,000",935ml,탁주,6,3,3,2,2,기름진 고기,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,4
천안연미주,"5,000",375ml,약주,13,2,3,2,4,기름진 음식,국내산 쌀,입장주조㈜,4
편백숲 산소막걸리 딸기 스파클링,"41,000",940ml,탁주,6.8,3,2,3,5,기름진 음식(수육),"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수,4
편백숲 산소막걸리,"1,900",750ml,탁주,5.2,3,3,3,3,"기름진 전, 고기류","쌀, 사과농축액,누룩,올리고당,아스파탐",청산녹수,4
자연담은 복분자막걸리,"56,000",360ml,탁주,6,2,1,1,1,"김부각, 가자미식해","국내산 복분자(고창), 정제수",(농)국순당고창명주㈜,2
양촌 생 동동주,"2,300",750ml,탁주,10,3,1,2,2,김치전,"정제수, 백미 효소제, 효모 등",양촌양조,2
호담 산양산삼 막걸리,"16,000",750ml,탁주,6,1,3,1,3,김치전,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼,3
조선주조사,"4,000",300ml,약주,14,3,3,3,2,"김치찌개, 된장찌개","쌀(국내산), 입국, 누룩, 주정, 정제수",농업회사법인 우포의아침(주),4
백이주,"30,000",800ml,과실주,35,2,2,3,1,"김치찜, 탕, 찌개류","쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인(주)세찬,1
해창 생 막걸리 12도,"10,000",900ml,탁주,12,1,1,4,2,꼬막 무침,"햅쌀, 찹쌀, 물, 누룩",,1
맑은 문희주,"36,000",750ml,약주,13,3,1,2,1,나물 무침,"유기농찹쌀 (국산), 멥쌀 (국산), 전통누룩 (우리 밀), 정제수",,2
오메기 맑은술,"25,000",500ml,약주,16,1,5,3,1,나물 무침,"좁쌀, 햅쌀, 정제수, 누룩",제주고소리술익는집,3
스타베리오디,"28,000",500ml,과실주,12,3,4,3,3,나물 요리,양조용포도(영천),한국와인,4
시나브로 에뚜왈 로제 스파클링,"30,000",750ml,과실주,5,2,1,4,1,내온 수육,포도(캠벨얼리),불휘농장,1
삼선,"15,000",500ml,탁주,10,1,4,2,2,녹두전,"국내산쌀, 누룩, 정제수",농업회사법인 두루(주),3
애석,"30,000",500ml,약주,15,2,1,2,2,"녹두전, 해물잡채","국내산쌀, 누룩, 정제수",농업회사법인 (주)두루,2
선호 생막걸리,"1,700",750ml,탁주,6,2,3,3,3,"달콤하고 매운 음식, 닭도리탕, 감자탕","국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인,4
예밀와인 레드 스위트,"20,000",750ml,과실주,12,4,1,3,2,달콤한 디저트,포도(캠벨얼리),예밀2리영농조합법인,1
추사 애플와인,"20,000",375ml,과실주,12,3,1,3,2,닭 백숙,사과(국내산),,1
산막 생유 막걸리,"1,200",750ml,탁주,6,1,3,2,3,닭갈비,"국내산 쌀, 소맥분, 종국, 효모",농업회사법인 신탄진주조(주),3
지리산 허브잎술 쌀 막걸리,"1,500",750ml,탁주,6,1,2,1,2,닭갈비,"쌀(국내산), 입국, 정제수, 효모, 곡자, 국내산허브(로즈마리, 라벤다잎줄기추출액, 울금) 등",운봉주조,2
사미인주,"32,000",750ml,탁주,8,2,2,3,4,닭강정,"유기농 햅쌀, 벌꿀",청산녹수,4
미생 막걸리,"1,100",750ml,탁주,6,2,3,3,3,"닭도리탕, 감자탕","국내산 쌀, 누룩, 효모, 정제효소, 정제수",김포금쌀탁주 영농조합법인,4
생탁주,"12,000",750ml,탁주,6,1,3,3,3,"닭도리탕, 양념된 고기류","쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",청산녹수,3
김포약주,"9,000",750ml,약주,11,1,2,2,1,닭백숙,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",김포양조,3
G12 골디락스,"12,000",500ml,탁주,12,2,2,3,2,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이","정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",,3
라이스퐁당,"18,000",500ml,약주,13,3,3,4,1,닭볶음탕,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",벗드림양조장,1
라이스퐁당 17,"18,000",500ml,약주,17,3,3,4,1,닭볶음탕,"찹쌀(국내산), 누룩, 정제수(음양곽, 감초)",,1
미소 생막걸리,"1,500",750ml,탁주,7,3,3,2,3,"대게, 홍게찜","쌀(국내산), 누룩, 정제수",울진술도가,4
왕피천을 품은 미소생막걸리,"1,200",750ml,탁주,7,3,3,2,3,"대게, 홍게찜","쌀, 누룩, 정제수",울진술도가,4
매실 막걸리,"3,500",750ml,탁주,7,3,2,1,1,더덕구이,"쌀, 매실과즙",백운주가,2
생 청주 막걸리,"1,500",750ml,탁주,6,2,1,3,3,더덕구이,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",조은술 세종,2
우리밀 막걸리 향수,"7,900",700ml,탁주,9,2,3,5,3,"도리뱅뱅이, 도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장,4
이동 쌀 막걸리,"1,600",1200ml,탁주,6,3,1,3,1,도토리 묵,"정제수, 백미, 팽화미, 입국, 아스파탐",,1
아이원 막걸리,"1,000",750ml,탁주,6,3,3,2,3,"도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장,4
기다림 16,"11,000",750ml,탁주,9,2,4,3,2,동래파전,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",제이케이크래프트,3
정고집 옛날 생동동주,"2,500",750ml,탁주,6,3,3,3,4,"두부김치, 부침개, 감자전","쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",,4
양촌 생 막걸리,"30,000",750ml,탁주,6,2,3,2,2,두부에 겉절이 김치,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조,3
소백산 검은콩 막걸리,"3,000",1500ml,탁주,6,3,1,3,1,두부요리,쌀,대강양조장,1
담솔,"22,000",500ml,리큐르,40,3,0,3,3,두부전골,"백미(함양산) 90%, 솔잎·송순(함양산) 10%",솔송주(명가원),2
동몽,"30,000",500ml,약주,17,2,3,3,1,두부전골,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술주조,3
1932 새싹땅콩 햅쌀막걸리,"15,000",500ml,탁주,6,2,2,1,3,디저트(케이크)/ 고기(돼지 갈비),"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",1932포천일동막걸리,2
1932 새싹땅콩 흑미막걸리,"15,000",500ml,탁주,6,3,1,2,1,디저트(케이크)/ 고기(돼지 갈비),"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",1932포천일동막걸리,2
호두땅콩막걸리,"2,700",750ml,기타주류,6,3,1,4,2,"땅콩, 호두 등 견과류","물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",배혜정도가,1
산정호수 동정춘막걸리,"20,000",720ml,탁주,6,5,1,4,4,떡,"국내산 쌀, 누룩, 정제수",(주)농업회사법인 술빚는 전가네,4
도깨비술 7,"8,000",750ml,탁주,7,3,3,3,4,"마늘 정식, 매운탕, 곤드레밥","국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장,4
도깨비술 11%,"12,000",750ml,탁주,11,4,4,5,3,"마늘 정식, 쏘가리 매운탕, 메기 매운탕, 나물 요리","정제수, 쌀, 국,효모",도깨비양조장,4
술아 순곡주,"36,000",375ml,약주,20,5,3,5,2,"맑은 소고기국, 미역국, 계란국","국내산 찹쌀, 누룩, 증류주, 정제수",,1
세종대왕어주 탁주,"16,900",500ml,탁주,13,3,3,2,1,매운 갈비찜,"쌀(국내산), 누룩, 정제수",장희,2
찰막걸리,"30,000",750ml,탁주,5.5,2,2,2,3,매운 음식,"정제수, 쌀, 밀가루, 찹쌀, 입국, 효모 정제효소제, 아스파탐",,2
기다림 25,"9,900",750ml,탁주,8,2,4,2,2,매운 잡채,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,3
세종대왕어주 약주,"25,900",500ml,약주,15,3,1,3,1,매콤새콤한 무침,"쌀, 누룩 정제수",,1
안양동동주,"1,100",1700ml,탁주,6,3,3,3,3,"매콤한 요리(꼬막무침, 닭볶음탕)","국내산 햅쌀, 국내산 친환경 햇찹쌀",안양주조장,4
경기전,"27,000",1000ml,기타주류,5,2,3,2,4,맥주에 어울리는 모든 안주,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",전주술로시티,4
오목대,"27,000",1000ml,기타주류,5,2,3,3,4,맥주와 어울리는 기름진 음식,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",농업회사법인 동문거리양조장(주),4
송명섭 막걸리,"3,000",500ml,탁주,6,1,3,3,3,"맵고 짠 한식, 고기","국내산쌀, 곡자, 정제수",태인합동주조장,3
감악산 머루주,"28,000",360ml,과실주,12,4,4,3,3,"메기, 참게, 흑염소, 오리로스구이","국내산 산머루원액 78.5%, 주정",,4
지장수 호박 생 막걸리,"1,400",750ml,탁주,6,3,1,2,2,메밀전,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천,2
행운 생유자 동동주,"1,100",750ml,탁주,6,2,3,3,3,멸치양념무침,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",성포양조장,4
병영소주,"59,400",700ml,증류주,40,3,0,2,3,명란젓,"정제수, 보리증류식 소주원액",,2
아황주,"23,000",500ml,약주,17,1,3,3,1,명란젓,"찹쌀, 멥쌀, 누룩, 정제수",,3
원조 한산소곡주,"12,000",750ml,약주,16,3,1,2,4,모시떡,"찹쌀(36%), 누룩(3%)",원조소곡주,2
감그린 아이스와인,"89,000",375ml,과실주,10,4,2,4,2,"모짜렐라 치즈, 카망베르, 스모키 치즈",감(국내산),청도감와인,1
별바랑,"27,000",375ml,과실주,17.5,4,3,2,3,모짜렐라치즈,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당,4
술공방 9.0 막걸리,"5,000",500ml,탁주,9,3,2,3,1,무침류,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",아리랑주조,1
병영설성 동동주,"2,500",1700ml,탁주,6,2,2,2,3,"묵은 김치 볶음, 담치국, 두부김치","쌀(국내산), 전분, 효모, 누룩, 정제수",병영양조장,2
동해동동주,"15,000",750ml,탁주,6,2,1,2,3,문어 숙회,쌀100%(포항쌀),동해명주,2
"진심홍삼인삼주 38%, 19%","3,000",375ml,증류주,19,3,1,2,1,문어숙회,"국내산 쌀, 국내산 지초",(농)㈜태평주가,2
배꽃담은연,"20,000",720ml,탁주,10,3,3,3,3,"미나리전, 고기 빈대떡, 오이무침, 족편","쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%",술빚는전가네,4
미나리 생막걸리,"1,100",750ml,탁주,6,3,3,3,3,"미나리전, 무침","국내산 쌀, 국내산 무농약 미나리추출액",성포양조장,4
성포 생막걸리,"1,100",750ml,탁주,6,3,3,3,3,"미나리전, 무침","쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",성포양조장,4
청명주,"23,000",500ml,약주,17,4,4,4,3,"민물 매운탕, 보쌈",국내산 쌀,중원당,4
청명주 750,"36,000",750ml,약주,17,4,4,4,2,"민물고기 매운탕, 수육, 보쌈","국내산 찹쌀, 누룩, 소맥분",,4
붉은 원숭이,"7,000",375ml,탁주,10.8,4,2,2,2,바비큐,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,2
가평 잣 막걸리,"1,450",750ml,탁주,6,2,2,3,3,반찬,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소",,4
오곡 진상주,,750ml,탁주,7,1,4,3,3,백설기,"쌀, 밀, 보리, 옥수수, 조 등",대강양조장,3
술그리다 생탁주,"9,000",500ml,탁주,10,2,1,1,1,"백숙, 양념되지 않은 음식","국내산쌀, 누룩",좋은술,2
석로주,"34,000",720ml,약주,13,1,1,4,1,버섯 전골,"국내산 쌀, 석이버섯, 누룩, 효모, 정제수",,1
입장탁주,"1,200",750ml,탁주,7,2,2,2,2,버섯 전골류,국내산 쌀,(농) 입장주조㈜,2
능이주,"12,000",375ml,약주,13,1,3,2,1,버섯구이,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조,3
장수 오미자주,"5,400",360ml,과실주,16.5,3,4,3,4,"버섯요리, 송이버섯 전골","오미자(국내산), 정제수, 주정, 설탕, 효모",,4
소백산 생 막걸리,"1,980",1700ml,탁주,6,2,3,2,2,버섯전골,쌀,대강양조장,3
이강주 2호,"28,000",750ml,리큐르,25,2,0,2,2,보쌈,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",,2
이강주 375ml,"4,500",375ml,리큐르,19,2,0,2,2,보쌈,국내산 쌀,전주이강주,2
1000억 유산균 막걸리,"3,200",750ml,탁주,5,3,5,3,5,"보쌈, 족발","국내산쌀, 누룩",국순당,4
김포예주 프리미엄,"15,000",750ml,약주,13,2,1,4,1,불고기,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조,1
바랑 탁,"18,000",375ml,탁주,15,4,2,4,1,불고기,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당,1
산머루 크라테 로제,"18,000",375ml,과실주,11.5,4,1,3,3,불고기,산머루,수도산와이너리,1
신선주,"19,000",750ml,약주,16,3,3,2,2,불고기,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",용두산조은술,4
우곡생주,"6,500",750ml,탁주,10,4,2,5,2,불고기,"국내산 쌀, 누룩, 효모, 정제수",배혜정도가,1
우곡생주,"6,500",750ml,탁주,10,4,2,5,2,불고기,"쌀(국내산), 국, 효모, 정제수",,1
풍정사계 춘(春),"30,000",500ml,약주,15,2,1,3,1,불고기,"찹쌀, 향온곡",화양,1
뱅꼬레 레드와인,"25,000",375ml,과실주,12,3,4,2,2,"불고기, 수육, 어복쟁반",양조용포도(영천),한국와인,4
젤코바 스페셜와인,"17,000",375ml,과실주,11.5,2,4,3,2,"불고기, 양념갈비","국내산 산머루, MBA포도",젤코바와이너리,3
시나브로 드 글로리아,"25,000",750ml,과실주,12,3,3,2,2,"불고기, 육전, 가벼운 고기류",포도(캠벨얼리),불휘농장,4
면천두견주 360,"32,000",360ml,약주,18,3,1,3,1,"불고기, 해물맑은탕","국내산 찹쌀, 누룩, 진달래꽃",면천두견주,1
추사 블루베리 와인,"20,000",375ml,과실주,11,3,1,3,2,"블루베리 파이, 사과 파이","예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",예산사과와인,1
기다림 34,"15,000",500ml,탁주,12,3,3,3,3,산미가 기름진 음식,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,4
그랑티그르 M1988,"40,000",750ml,과실주,12,3,3,3,2,"산채 한정식, 나물 요리","캠벨얼리 포도, 오미자",월류원,4
그랑티그르 CE2002,"40,000",750ml,과실주,12,3,2,3,2,"산채 한정식, 나물요리",캠벨얼리 포도,월류원,1
무주구천동머루와인,"25,000",750ml,과실주,12,2,2,3,1,삼겹살,머루,덕유양조,1
미르,"18,000",375ml,증류주,25,2,0,3,1,삼겹살,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘,1
장홍삼 장수 막걸리,"2,000",750ml,탁주,6,1,4,1,3,삼겹살,"백미,말토올리고당,홍삼분말",서울장수(주),3
청세주,"4,000",375ml,청세주,18,3,1,2,1,삼겹살,국내산 쌀,병영주조장,2
복분자음,"6,000",375ml,과실주,12,2,2,3,1,삼계탕,"복분자(국내산), 정제수",배상면주가,1
해파랑,"10,000",375ml,약주,13,3,1,3,1,삼계탕,"쌀(국내산), 해방풍(국내산), 계량누룩, 젖산, 이소말토올리고당, 정제수",,1
도로시 머루주,"25,000",500ml,과실주,12,4,4,3,3,"삼계탕, 오리백숙","국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인,4
설성 만월 막걸리,"4,000",750ml,탁주,6,2,3,3,2,새우 간장 절임,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",병영주조장,3
병영설성 생막걸리,"3,500",750ml,탁주,6,3,2,2,2,"새우 간장 절임, 남도 한정식","쌀(국내산), 효모, 누룩, 정제수",병영양조장,2
느린마을 막걸리,"2,300",750ml,탁주,6,3,1,2,3,새우 소금구이,"쌀, 국, 효모, 정제수",배상면주가,2
애피소드 애플,"21,000",500ml,과실주,3.5,4,4,2,4,"새우, 호박, 감자, 고구마, 오징어",사과,㈜한국애플리즈,4
까메오 막걸리,"5,000",550ml,탁주,6,3,1,2,2,샐러드,"정제수, 쌀, 효모, 누룩, 과당 등",낙천,2
마셔블랑,"20,000",750ml,증류주,12,3,3,2,3,샐러드,"감귤과즙, 백설탕, 액상효모, 무수아황산",시트러스,4
석탄주 탁주,"6,000",500ml,탁주,15,2,3,4,3,샐러드,"국내산 찹쌀, 누룩, 정제수",케이소주,4
술아 국화주,"18,000",375ml,약주,15,4,3,4,2,샐러드,"국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수",술아원,1
술아 매화주,"36,000",375ml,약주,15,5,3,4,2,샐러드,"국내산 찹쌀, 누룩, 건조매화꽃, 증류주, 정제수",,1
우렁이쌀 손 막걸리,"2,600",750ml,탁주,7.5,4,1,2,3,샐러드,국내산 쌀,양촌양조,2
이상헌 탁주,"25,000",500ml,탁주,19,2,3,3,3,샐러드,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불,4
술아 핸드메이드 막걸리,"21,000",450ml,탁주,8,3,4,4,3,"샐러드, 두부","국내산 찹쌀, 누룩, 정제수",술아원,4
뱅꼬레 화이트와인,"23,000",375ml,과실주,11,4,3,2,3,"샐러드, 카르파쵸, 가벼운 튀김류",양조용포도(경북 영천),한국와인,4
맑은내일 Winery 단감명작,"20,000",750ml,과실주,7,3,2,2,3,"샐러드, 해산물, 케이크, 마카롱","단감(국내산_창녕), 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산아방지제), 소브산(보존료)",우포의 아침 주식회사,4
도구 막걸리,"15,000",750ml,탁주,6,2,2,3,3,생선 조림,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",,4
